Influencer_ID,Influencer_Name,Platform,Subscribers,Post_Categories,Country,Visits,Likes,Comments,Engagement_Rate(%),Profile_Link
INF00923,merrickhanna,YouTube,12700000,Unknown,Estados Unidos,536300,25900,244,0.20585826771653543,http://youtube.com/channel/UC39he8ro-KtBHkq0NXOFyQw
INF00924,SoyTioNestor,YouTube,12700000,Animación,México,278000,19900,307,0.15911023622047243,http://youtube.com/channel/UCLKqPeUlDBTxDe2x8QTpLlg
INF00925,TalentRecap,YouTube,12700000,"Música y baile, Películas",Estados Unidos,35800,370,18,0.0030551181102362207,http://youtube.com/channel/UCSWwb_YyNB8vuC1VDcfPPaQ
INF00926,hzhtubekidsfun,YouTube,12700000,"Animación, Juguetes",Unknown,65400,851,0,0.0067007874015748035,http://youtube.com/channel/UCAgx4HcQIYn9lM0rhtIuH9w
INF00927,DisneyChannelUK,YouTube,12700000,"Películas, Humor",Unknown,46300,344,0,0.0027086614173228345,http://youtube.com/channel/UCLeuoGy_hUDTBf5Hk0ynrpQ
INF00928,InsideEdition,YouTube,12700000,Noticias y Política,Estados Unidos,63400,1500,120,0.012755905511811024,http://youtube.com/channel/UC9k-yiEpRHMNVOnOi_aQK8w
INF00929,SaregamaHumBhojpuri,YouTube,12700000,Música y baile,India,17500,899,24,0.007267716535433072,http://youtube.com/channel/UC0J8BQahplvTY6LjlnLf_NQ
INF00930,Yair17,YouTube,12700000,"Películas, Animación",México,152700,10100,242,0.08143307086614174,http://youtube.com/channel/UCXH1p4gixwXwrUGSx-WvLNQ
INF00931,AvrilLavigne,YouTube,12700000,Música y baile,Estados Unidos,49600,4600,166,0.037527559055118107,http://youtube.com/channel/UC_k8KFBzEf0uQ8LRFSAgSUA
INF00932,FilmTheory,YouTube,12700000,"Películas, Animación",Estados Unidos,3400000,217100,5300,1.7511811023622048,http://youtube.com/channel/UC3sznuotAs2ohg_U__Jzj_Q
INF00933,HISTORY,YouTube,12700000,Películas,Estados Unidos,92400,1700,136,0.014456692913385825,http://youtube.com/channel/UC9MAhZQQd9egwWCxrwSIsJQ
INF00934,ArynewsTvofficial,YouTube,12700000,Noticias y Política,Pakistán,2300,42,1,0.0003385826771653543,http://youtube.com/channel/UCMmpLL2ucRHAXbNHiCPyIyg
INF00935,parafernalha,YouTube,12700000,"Películas, Humor",Brasil,25200,1800,14,0.014283464566929133,http://youtube.com/channel/UCddYq41_tZ1FnLlguLT6-Ow
