Influencer ID,Account,Platform,Follower Count,Post Engagements,Engagement Rate (%),Views avg.,Likes avg.,Comments avg.,Shares avg.,Scraped
INF0185,mkbhd,TikTok,1300000.0,464500,35.73,3400000.0,450600.0,3200.0,10700.0,2022-02-07 16:54:35.641971
INF0186,angryreactions,TikTok,25500000.0,541400,2.12,4700000.0,533000.0,5900.0,2500.0,2022-02-07 16:54:35.641971
INF0187,joaoumdoce,TikTok,1900000.0,460700,24.25,6400000.0,453500.0,4300.0,2900.0,2022-02-07 16:54:35.641971
INF0188,brittikitty,TikTok,10900000.0,436900,4.01,3400000.0,422400.0,5300.0,9200.0,2022-02-07 16:54:35.641971
INF0189,adifishy,TikTok,2300000.0,399400,17.37,21500000.0,397000.0,1100.0,1300.0,2022-02-07 16:54:35.641971
INF0190,hannahstocking,TikTok,25600000.0,964083,3.77,6200000.0,960700.0,2500.0,883.0,2022-02-07 16:54:35.641971
INF0191,shindonggg,TikTok,1600000.0,575100,35.94,3000000.0,563100.0,7500.0,4500.0,2022-02-07 16:54:35.641971
INF0192,luelvesfelix,TikTok,4000000.0,386700,9.67,3600000.0,371900.0,2500.0,12300.0,2022-02-07 16:54:35.641971
INF0193,aviranisha,TikTok,2800000.0,725115,25.9,5700000.0,720300.0,3900.0,915.0,2022-02-07 16:54:35.641971
INF0194,itskeyonn,TikTok,572400.0,513800,89.76,1900000.0,492800.0,6400.0,14600.0,2022-02-07 16:54:35.641971
INF0195,lindseyjswyatt,TikTok,1900000.0,743200,39.12,3600000.0,735900.0,4700.0,2600.0,2022-02-07 16:54:35.641971
INF0196,samseats,TikTok,8600000.0,672400,7.82,4200000.0,665600.0,3400.0,3400.0,2022-02-07 16:54:35.641971
INF0197,lachama4_ff,TikTok,7500000.0,522977,6.97,3700000.0,512900.0,9400.0,677.0,2022-02-07 16:54:35.641971
INF0198,siennamae,TikTok,13800000.0,425700,3.08,17500000.0,423100.0,0.0,2600.0,2022-02-07 16:54:35.641971
INF0199,prillylatuconsina15,TikTok,6000000.0,530200,8.84,3700000.0,520500.0,3600.0,6100.0,2022-02-07 16:54:35.641971
INF0200,itsmenicksmithy,TikTok,5100000.0,461900,9.06,2800000.0,447300.0,7200.0,7400.0,2022-02-07 16:54:35.641971
